Mon, 09 Sep 2019 13:10:17 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:18 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:19 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:20 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:21 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:22 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:23 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:24 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:25 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:26 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:27 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:28 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:30 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:31 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:32 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:33 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:34 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:35 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:36 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:37 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:38 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:39 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:40 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:41 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:42 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:43 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:45 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:46 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:47 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:48 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:49 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:50 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:51 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:52 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:53 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:54 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:55 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:56 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:57 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:58 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:10:59 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:00 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:01 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:02 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:03 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:05 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:06 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:07 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:08 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:09 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:10 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:11 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:12 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:13 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:14 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:15 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:16 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:17 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:18 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:19 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:20 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:22 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:23 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:24 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:25 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:26 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:27 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:28 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:29 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:30 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:31 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:32 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:33 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:11:34 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
